land_cover,substrate,enzyme,ln_activity
RM,Litter,Cellobiohydrolase (CBH),4.827686342
RM,Topsoil,Cellobiohydrolase (CBH),4.787603911
RM,Litter,Cellobiohydrolase (CBH),4.752497023
RM,Topsoil,Cellobiohydrolase (CBH),4.742942625
RM,Litter,Cellobiohydrolase (CBH),4.787325664
RM,Topsoil,Cellobiohydrolase (CBH),4.785375766
RM,Topsoil,Cellobiohydrolase (CBH),4.719394349
RM,Litter,Cellobiohydrolase (CBH),4.752208833
RM,Topsoil,Cellobiohydrolase (CBH),4.762531703
RM,Litter,Cellobiohydrolase (CBH),4.743233498
RM,Topsoil,Cellobiohydrolase (CBH),4.845172857
RM,Litter,Cellobiohydrolase (CBH),4.795915513
RM,Topsoil,Cellobiohydrolase (CBH),4.828487852
RM,Topsoil,Cellobiohydrolase (CBH),4.797844987
RM,Litter,Cellobiohydrolase (CBH),4.818827065
RM,Topsoil,Cellobiohydrolase (CBH),4.824741962
RM,Litter,Cellobiohydrolase (CBH),4.709516789
RM,Topsoil,Cellobiohydrolase (CBH),4.761104328
RM,Litter,Cellobiohydrolase (CBH),4.826884189
RM,Topsoil,Cellobiohydrolase (CBH),4.793152647
RM,Litter,Cellobiohydrolase (CBH),4.771336244
RM,Topsoil,Cellobiohydrolase (CBH),4.800045551
NF,Litter,Cellobiohydrolase (CBH),4.719394349
NF,Topsoil,Cellobiohydrolase (CBH),4.721179833
NF,Litter,Cellobiohydrolase (CBH),4.708915001
NF,Topsoil,Cellobiohydrolase (CBH),4.712520305
NF,Litter,Cellobiohydrolase (CBH),4.78174441
NF,Topsoil,Cellobiohydrolase (CBH),4.803063441
NF,Litter,Cellobiohydrolase (CBH),4.703482556
NF,Topsoil,Cellobiohydrolase (CBH),4.707408946
NF,Litter,Cellobiohydrolase (CBH),4.720287489
NF,Topsoil,Cellobiohydrolase (CBH),4.7294702
NF,Litter,Cellobiohydrolase (CBH),4.804705732
NF,Topsoil,Cellobiohydrolase (CBH),4.788438186
NF,Litter,Cellobiohydrolase (CBH),4.745557436
NF,Litter,Cellobiohydrolase (CBH),4.743814989
NF,Topsoil,Cellobiohydrolase (CBH),4.722071381
NF,Litter,Cellobiohydrolase (CBH),4.805252564
NF,Topsoil,Cellobiohydrolase (CBH),4.822057709
NF,Litter,Cellobiohydrolase (CBH),4.767369596
NF,Topsoil,Cellobiohydrolase (CBH),4.753361095
NF,Litter,Cellobiohydrolase (CBH),4.757096803
NF,Topsoil,Cellobiohydrolase (CBH),4.793429278
NF,Litter,Cellobiohydrolase (CBH),4.71671013
NF,Topsoil,Cellobiohydrolase (CBH),4.75824345
AF,Litter,Cellobiohydrolase (CBH),4.907288291
AF,Topsoil,Cellobiohydrolase (CBH),4.914910779
AF,Litter,Cellobiohydrolase (CBH),4.947918402
AF,Topsoil,Cellobiohydrolase (CBH),4.941260324
AF,Litter,Cellobiohydrolase (CBH),4.86184237
AF,Litter,Cellobiohydrolase (CBH),4.954767852
AF,Topsoil,Cellobiohydrolase (CBH),4.937914587
AF,Litter,Cellobiohydrolase (CBH),4.882042839
AF,Topsoil,Cellobiohydrolase (CBH),4.894620251
AF,Litter,Cellobiohydrolase (CBH),4.836467821
AF,Topsoil,Cellobiohydrolase (CBH),4.871865756
AF,Litter,Cellobiohydrolase (CBH),4.958292347
AF,Topsoil,Cellobiohydrolase (CBH),4.926599888
AF,Litter,Cellobiohydrolase (CBH),4.839377928
AF,Topsoil,Cellobiohydrolase (CBH),4.856662934
AF,Litter,Cellobiohydrolase (CBH),4.877221637
AF,Topsoil,Cellobiohydrolase (CBH),4.901346846
AF,Litter,Cellobiohydrolase (CBH),4.891866761
AF,Topsoil,Cellobiohydrolase (CBH),4.885832701
AF,Litter,Cellobiohydrolase (CBH),4.866223896
AF,Topsoil,Cellobiohydrolase (CBH),4.899358493
AF,Litter,Cellobiohydrolase (CBH),4.896368532
AF,Topsoil,Cellobiohydrolase (CBH),4.920285253
MF,Litter,Cellobiohydrolase (CBH),4.790936846
MF,Topsoil,Cellobiohydrolase (CBH),4.811791325
MF,Litter,Cellobiohydrolase (CBH),4.786211902
MF,Topsoil,Cellobiohydrolase (CBH),4.823400736
MF,Litter,Cellobiohydrolase (CBH),4.813961445
MF,Topsoil,Cellobiohydrolase (CBH),4.803337343
MF,Litter,Cellobiohydrolase (CBH),4.90209146
MF,Topsoil,Cellobiohydrolase (CBH),4.862100639
MF,Litter,Cellobiohydrolase (CBH),4.785096899
MF,Topsoil,Cellobiohydrolase (CBH),4.793982309
MF,Litter,Cellobiohydrolase (CBH),4.863133048
MF,Litter,Cellobiohydrolase (CBH),4.746717384
MF,Topsoil,Cellobiohydrolase (CBH),4.766801645
MF,Litter,Cellobiohydrolase (CBH),4.812062847
MF,Topsoil,Cellobiohydrolase (CBH),4.805799096
MF,Litter,Cellobiohydrolase (CBH),4.803337343
MF,Topsoil,Cellobiohydrolase (CBH),4.817207821
MF,Litter,Cellobiohydrolase (CBH),4.837262327
MF,Topsoil,Cellobiohydrolase (CBH),4.85796031
MF,Topsoil,Cellobiohydrolase (CBH),4.779503156
MF,Litter,Cellobiohydrolase (CBH),4.790936846
MF,Topsoil,Cellobiohydrolase (CBH),4.81801777
RM,Litter,"β-1,4-glucosidase (BG)",2.504062074
RM,Topsoil,"β-1,4-glucosidase (BG)",2.513699809
RM,Litter,"β-1,4-glucosidase (BG)",2.498139492
RM,Topsoil,"β-1,4-glucosidase (BG)",2.495760603
RM,Litter,"β-1,4-glucosidase (BG)",2.498614592
RM,Topsoil,"β-1,4-glucosidase (BG)",2.509714941
RM,Topsoil,"β-1,4-glucosidase (BG)",2.500275665
RM,Litter,"β-1,4-glucosidase (BG)",2.480642049
RM,Topsoil,"β-1,4-glucosidase (BG)",2.525791167
RM,Litter,"β-1,4-glucosidase (BG)",2.528330327
RM,Topsoil,"β-1,4-glucosidase (BG)",2.495522402
RM,Litter,"β-1,4-glucosidase (BG)",2.482091799
RM,Topsoil,"β-1,4-glucosidase (BG)",2.507363462
RM,Topsoil,"β-1,4-glucosidase (BG)",2.515803034
RM,Litter,"β-1,4-glucosidase (BG)",2.426999828
RM,Topsoil,"β-1,4-glucosidase (BG)",2.464800208
RM,Litter,"β-1,4-glucosidase (BG)",2.452192333
RM,Topsoil,"β-1,4-glucosidase (BG)",2.488589791
RM,Litter,"β-1,4-glucosidase (BG)",2.454180581
RM,Topsoil,"β-1,4-glucosidase (BG)",2.467498839
RM,Litter,"β-1,4-glucosidase (BG)",2.417515361
RM,Topsoil,"β-1,4-glucosidase (BG)",2.453435452
NF,Litter,"β-1,4-glucosidase (BG)",2.274023926
NF,Topsoil,"β-1,4-glucosidase (BG)",2.300718425
NF,Litter,"β-1,4-glucosidase (BG)",2.300718425
NF,Topsoil,"β-1,4-glucosidase (BG)",2.342667026
NF,Litter,"β-1,4-glucosidase (BG)",2.360275806
NF,Topsoil,"β-1,4-glucosidase (BG)",2.364629976
NF,Litter,"β-1,4-glucosidase (BG)",2.280838475
NF,Topsoil,"β-1,4-glucosidase (BG)",2.284375543
NF,Litter,"β-1,4-glucosidase (BG)",2.34654553
NF,Topsoil,"β-1,4-glucosidase (BG)",2.319074697
NF,Litter,"β-1,4-glucosidase (BG)",2.415452784
NF,Topsoil,"β-1,4-glucosidase (BG)",2.373551016
NF,Litter,"β-1,4-glucosidase (BG)",2.337379167
NF,Litter,"β-1,4-glucosidase (BG)",2.364629976
NF,Topsoil,"β-1,4-glucosidase (BG)",2.282903285
NF,Litter,"β-1,4-glucosidase (BG)",2.285257858
NF,Topsoil,"β-1,4-glucosidase (BG)",2.314517122
NF,Litter,"β-1,4-glucosidase (BG)",2.389040113
NF,Topsoil,"β-1,4-glucosidase (BG)",2.362727359
NF,Litter,"β-1,4-glucosidase (BG)",2.319358857
NF,Topsoil,"β-1,4-glucosidase (BG)",2.353434233
NF,Litter,"β-1,4-glucosidase (BG)",2.37972198
NF,Topsoil,"β-1,4-glucosidase (BG)",2.37058617
AF,Litter,"β-1,4-glucosidase (BG)",2.624108927
AF,Topsoil,"β-1,4-glucosidase (BG)",2.609974102
AF,Litter,"β-1,4-glucosidase (BG)",2.523245544
AF,Topsoil,"β-1,4-glucosidase (BG)",2.522318254
AF,Litter,"β-1,4-glucosidase (BG)",2.57516839
AF,Litter,"β-1,4-glucosidase (BG)",2.514868813
AF,Topsoil,"β-1,4-glucosidase (BG)",2.551798391
AF,Litter,"β-1,4-glucosidase (BG)",2.581090571
AF,Topsoil,"β-1,4-glucosidase (BG)",2.587629897
AF,Litter,"β-1,4-glucosidase (BG)",2.582401861
AF,Topsoil,"β-1,4-glucosidase (BG)",2.573406913
AF,Litter,"β-1,4-glucosidase (BG)",2.51556956
AF,Topsoil,"β-1,4-glucosidase (BG)",2.511592151
AF,Litter,"β-1,4-glucosidase (BG)",2.521390103
AF,Topsoil,"β-1,4-glucosidase (BG)",2.560542558
AF,Litter,"β-1,4-glucosidase (BG)",2.533848033
AF,Topsoil,"β-1,4-glucosidase (BG)",2.538194727
AF,Litter,"β-1,4-glucosidase (BG)",2.557636323
AF,Topsoil,"β-1,4-glucosidase (BG)",2.553148635
AF,Litter,"β-1,4-glucosidase (BG)",2.51088861
AF,Topsoil,"β-1,4-glucosidase (BG)",2.519298608
AF,Litter,"β-1,4-glucosidase (BG)",2.489788503
AF,Topsoil,"β-1,4-glucosidase (BG)",2.524403449
MF,Litter,"β-1,4-glucosidase (BG)",2.605715736
MF,Topsoil,"β-1,4-glucosidase (BG)",2.579558555
MF,Litter,"β-1,4-glucosidase (BG)",2.599079222
MF,Topsoil,"β-1,4-glucosidase (BG)",2.57318651
MF,Litter,"β-1,4-glucosidase (BG)",2.541613032
MF,Topsoil,"β-1,4-glucosidase (BG)",2.540474895
MF,Litter,"β-1,4-glucosidase (BG)",2.599293992
MF,Topsoil,"β-1,4-glucosidase (BG)",2.586760454
MF,Litter,"β-1,4-glucosidase (BG)",2.536595511
MF,Topsoil,"β-1,4-glucosidase (BG)",2.555170587
MF,Litter,"β-1,4-glucosidase (BG)",2.599079222
MF,Litter,"β-1,4-glucosidase (BG)",2.521622221
MF,Topsoil,"β-1,4-glucosidase (BG)",2.537966424
MF,Litter,"β-1,4-glucosidase (BG)",2.576047966
