land_cover,substrate,parameter,value
RM,Litter,Enzyme C:N,1.006523361
RM,Topsoil,Enzyme C:N,0.996211812
RM,Litter,Enzyme C:N,0.982000843
RM,Topsoil,Enzyme C:N,0.977818768
RM,Litter,Enzyme C:N,0.995104893
RM,Topsoil,Enzyme C:N,0.992449798
RM,Topsoil,Enzyme C:N,0.978551537
RM,Litter,Enzyme C:N,0.980896096
RM,Topsoil,Enzyme C:N,0.975723205
RM,Litter,Enzyme C:N,0.97976534
RM,Topsoil,Enzyme C:N,1.010683426
RM,Litter,Enzyme C:N,0.994974932
RM,Topsoil,Enzyme C:N,0.996240995
RM,Topsoil,Enzyme C:N,0.990819843
RM,Litter,Enzyme C:N,0.990823568
RM,Topsoil,Enzyme C:N,0.992351773
RM,Litter,Enzyme C:N,0.973891836
RM,Topsoil,Enzyme C:N,0.983597012
RM,Litter,Enzyme C:N,1.005677531
RM,Topsoil,Enzyme C:N,0.997451963
RM,Litter,Enzyme C:N,0.981734259
RM,Topsoil,Enzyme C:N,0.991388407
NF,Litter,Enzyme C:N,0.989469326
NF,Topsoil,Enzyme C:N,0.98887597
NF,Litter,Enzyme C:N,0.980180743
NF,Topsoil,Enzyme C:N,0.978816894
NF,Litter,Enzyme C:N,1.00368853
NF,Topsoil,Enzyme C:N,1.009229885
NF,Litter,Enzyme C:N,0.991232995
NF,Topsoil,Enzyme C:N,0.99110845
NF,Litter,Enzyme C:N,0.976380285
NF,Topsoil,Enzyme C:N,0.985055657
NF,Litter,Enzyme C:N,0.991080047
NF,Topsoil,Enzyme C:N,0.989914368
NF,Litter,Enzyme C:N,0.995392675
NF,Litter,Enzyme C:N,0.996296916
NF,Topsoil,Enzyme C:N,0.986430625
NF,Litter,Enzyme C:N,1.012966546
NF,Topsoil,Enzyme C:N,1.007378374
NF,Litter,Enzyme C:N,0.9913252
NF,Topsoil,Enzyme C:N,0.991409039
NF,Litter,Enzyme C:N,0.989456875
NF,Topsoil,Enzyme C:N,1.001100682
NF,Litter,Enzyme C:N,0.996193056
NF,Topsoil,Enzyme C:N,0.999907781
AF,Litter,Enzyme C:N,1.012378704
AF,Topsoil,Enzyme C:N,1.013566022
AF,Litter,Enzyme C:N,1.020931833
AF,Topsoil,Enzyme C:N,1.018974977
AF,Litter,Enzyme C:N,1.004204065
AF,Litter,Enzyme C:N,1.017588048
AF,Topsoil,Enzyme C:N,1.013569604
AF,Litter,Enzyme C:N,1.021512053
AF,Topsoil,Enzyme C:N,1.021409422
AF,Litter,Enzyme C:N,0.998800481
AF,Topsoil,Enzyme C:N,1.008370271
AF,Litter,Enzyme C:N,1.017891091
AF,Topsoil,Enzyme C:N,1.015284054
AF,Litter,Enzyme C:N,1.00587961
AF,Topsoil,Enzyme C:N,1.007250326
AF,Litter,Enzyme C:N,1.003777844
AF,Topsoil,Enzyme C:N,1.011251108
AF,Litter,Enzyme C:N,1.010451921
AF,Topsoil,Enzyme C:N,1.003777019
AF,Litter,Enzyme C:N,1.001391376
AF,Topsoil,Enzyme C:N,1.009525213
AF,Litter,Enzyme C:N,1.012164461
AF,Topsoil,Enzyme C:N,1.017853707
SF,Litter,Enzyme C:N,1.006576079
SF,Topsoil,Enzyme C:N,1.005771466
SF,Litter,Enzyme C:N,0.99078491
SF,Topsoil,Enzyme C:N,1.003705096
SF,Litter,Enzyme C:N,0.99025839
SF,Topsoil,Enzyme C:N,0.994979603
SF,Litter,Enzyme C:N,1.025314024
SF,Topsoil,Enzyme C:N,1.018791627
SF,Litter,Enzyme C:N,1.005964165
SF,Topsoil,Enzyme C:N,1.001747069
SF,Litter,Enzyme C:N,1.005907853
SF,Litter,Enzyme C:N,0.984130382
SF,Topsoil,Enzyme C:N,0.990177849
SF,Litter,Enzyme C:N,1.003501763
SF,Topsoil,Enzyme C:N,1.002134513
SF,Litter,Enzyme C:N,0.996411428
SF,Topsoil,Enzyme C:N,1.001619782
SF,Litter,Enzyme C:N,1.017672097
SF,Topsoil,Enzyme C:N,1.020387106
SF,Topsoil,Enzyme C:N,1.005723449
SF,Litter,Enzyme C:N,1.01171737
SF,Topsoil,Enzyme C:N,1.015065657
RM,Litter,Enzyme C:P,1.911001818
RM,Topsoil,Enzyme C:P,1.904923663
RM,Litter,Enzyme C:P,1.920483146
RM,Topsoil,Enzyme C:P,1.915964328
RM,Litter,Enzyme C:P,1.937497231
RM,Topsoil,Enzyme C:P,1.924840548
RM,Topsoil,Enzyme C:P,1.909733367
RM,Litter,Enzyme C:P,1.912513107
RM,Topsoil,Enzyme C:P,1.89652285
RM,Litter,Enzyme C:P,1.909136964
RM,Topsoil,Enzyme C:P,1.964561936
RM,Litter,Enzyme C:P,1.936103329
RM,Topsoil,Enzyme C:P,1.903205159
RM,Topsoil,Enzyme C:P,1.905962497
RM,Litter,Enzyme C:P,1.95558723
RM,Topsoil,Enzyme C:P,1.969293425
RM,Litter,Enzyme C:P,1.840985117
RM,Topsoil,Enzyme C:P,1.865437192
RM,Litter,Enzyme C:P,1.967338154
RM,Topsoil,Enzyme C:P,1.918583019
RM,Litter,Enzyme C:P,1.921135275
RM,Topsoil,Enzyme C:P,1.943791778
NF,Litter,Enzyme C:P,1.846484103
NF,Topsoil,Enzyme C:P,1.855202302
NF,Litter,Enzyme C:P,1.856420064
NF,Topsoil,Enzyme C:P,1.847996516
NF,Litter,Enzyme C:P,1.836819079
NF,Topsoil,Enzyme C:P,1.844183448
NF,Litter,Enzyme C:P,1.878211097
NF,Topsoil,Enzyme C:P,1.878208079
NF,Litter,Enzyme C:P,1.896132075
NF,Topsoil,Enzyme C:P,1.889376241
NF,Litter,Enzyme C:P,1.869604321
NF,Topsoil,Enzyme C:P,1.850475862
NF,Litter,Enzyme C:P,1.873530567
NF,Litter,Enzyme C:P,1.860266332
NF,Topsoil,Enzyme C:P,1.892739275
NF,Litter,Enzyme C:P,1.837269014
NF,Topsoil,Enzyme C:P,1.847685104
NF,Litter,Enzyme C:P,1.842799706
NF,Topsoil,Enzyme C:P,1.833611308
NF,Litter,Enzyme C:P,1.815197549
NF,Topsoil,Enzyme C:P,1.830979229
NF,Litter,Enzyme C:P,1.891083484
NF,Topsoil,Enzyme C:P,1.8781941
AF,Litter,Enzyme C:P,1.79789845
AF,Topsoil,Enzyme C:P,1.805145592
AF,Litter,Enzyme C:P,1.875218748
AF,Topsoil,Enzyme C:P,1.86552538
AF,Litter,Enzyme C:P,1.855026703
AF,Litter,Enzyme C:P,1.826087396
AF,Topsoil,Enzyme C:P,1.834029161
AF,Litter,Enzyme C:P,1.825002169
AF,Topsoil,Enzyme C:P,1.840517172
AF,Litter,Enzyme C:P,1.852754032
AF,Topsoil,Enzyme C:P,1.836165947
AF,Litter,Enzyme C:P,1.826167509
AF,Topsoil,Enzyme C:P,1.826594207
AF,Litter,Enzyme C:P,1.817700731
AF,Topsoil,Enzyme C:P,1.834102955
AF,Litter,Enzyme C:P,1.827261474
AF,Topsoil,Enzyme C:P,1.821398431
AF,Litter,Enzyme C:P,1.826490563
AF,Topsoil,Enzyme C:P,1.834335068
AF,Litter,Enzyme C:P,1.85182713
AF,Topsoil,Enzyme C:P,1.865171372
AF,Litter,Enzyme C:P,1.798525558
AF,Topsoil,Enzyme C:P,1.822316304
SF,Litter,Enzyme C:P,1.917278723
SF,Topsoil,Enzyme C:P,1.908693255
SF,Litter,Enzyme C:P,1.891782908
SF,Topsoil,Enzyme C:P,1.891770239
